table_no,table_title,source_table_index,source_row,row_kind,subsection,explicit_code,effective_parent_code,work_type,basis,unit_raw,time_norm_raw_person_hours
9,9. Бир автомобиль тўхташ майдончасини сақлаш учун вақт меъёрлари,10,2,norm,,9-1-1,9-1-1,Бордюрларни оқлаш,К7-5,100 m2,"0,7"
9,9. Бир автомобиль тўхташ майдончасини сақлаш учун вақт меъёрлари,10,3,norm,,9-2-2,9-2-2,Майдончани тозалаш:- ёзда,К9-1,100 m2,"1,31"
9,9. Бир автомобиль тўхташ майдончасини сақлаш учун вақт меъёрлари,10,4,norm,,9-2-2,9-2-2,- қишда,,m2,2
10,10. Бир майдончани (дам олиш) ва автомобилларнинг тўхтаб туриш жойини сақлаш учун вақт меъёрлари,11,2,norm,,10-1-1,10-1-1,Бордюрларни оқлаш,К7-5,100 m2,"0,7"
10,10. Бир майдончани (дам олиш) ва автомобилларнинг тўхтаб туриш жойини сақлаш учун вақт меъёрлари,11,3,norm,,10-2-1,10-2-1,2 та ўриндиқни (2 марта) бўяш,К10-1,100 m2,3.02
10,10. Бир майдончани (дам олиш) ва автомобилларнинг тўхтаб туриш жойини сақлаш учун вақт меъёрлари,11,4,norm,,10-3-1,10-3-1,Ҳудудни тозалаш:- ёзда,К9-1,100 m2,"1,31"
10,10. Бир майдончани (дам олиш) ва автомобилларнинг тўхтаб туриш жойини сақлаш учун вақт меъёрлари,11,5,variant_or_continuation,,,10-3-1,- қишда,,100 m2,"1,31"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,2,norm,,11-1-1,11-1-1,Зарур жойларининг сувоғини тиклаш,К11-1,1 m2,"1,7"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,3,norm,,11-2-1,11-2-1,Деворларни бўёқ сочгич билан бўяш,К11-2,100 m2,"12,85"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,4,norm,,11-3-1,11-3-1,Ёзувларни қолипсиз бўяш,К11-3,100 ҳарф,"5,2"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,5,norm,,11-4-1,11-4-1,Деворларни шланг ёрдамида ювиш,К11-4,100 m2,"5,23"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,6,norm,,11-5-1,11-5-1,Бекат томида майда таъмирлаш ишлари,К11-5,1m2,"0,815"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,7,norm,,11-6-1,11-6-1,Ёғоч ўриндиқларни таъмирлаш,К11-6,1 m2,"0,4"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,8,norm,,11-7-1,11-7-1,Ёғоч ўриндиқларни буяш (2марта),К10-1,100 m2,"3,02"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,9,variant_or_continuation,,,11-7-1,Автобекат ва унга тегишли ҳудудни тозалаш:- ёзда,К9-1,100 m2,"1,31"
11,11. Бир дона автобекатни сақлаш учун вақт меъёрлари,12,10,variant_or_continuation,,,11-7-1,- қишда,,100 m2,"2,0"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,2,norm,,12-1-1,12-1-1,Эски йўл белгини ўрнига янгисини ўрнатиш,К12-1,1 дона,"0,5"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,3,norm,,12-2-1,12-2-1,Устунларни оқлаш,К8-4,1 m2,"0,07"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,4,norm,,12-3-1,12-3-1,Устунларни бўяш,К12-2,1 дона,"0,202"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,5,norm,,12-4-1,12-4-1,Темир учликни бўяш,К12-3,1 дона,"0,54"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,6,norm,,12-5-1,12-5-1,Ўлчамлари 1 m гача бўлган белгиларни алмаштириш,К12-4,1 дона,"0,52"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,7,norm,,12-6-1,12-6-1,Ўлчамлари 1 m дан катта бўл- ган белгиларни алмаштириш,К12-5,1 дона,"1,10"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,8,norm,,12-7-1,12-7-1,"Йўл белгиларини таъмирлаш огоҳлантирувчи, тақиқловчи, имтиёзли, сервис белгилар)",К12-6,1 дона,"0,4"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,9,norm,,12-8-1,12-8-1,Устунларни ўрнатиш: - т/б устун,К12-7,1 дона,2.033
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,10,norm,,12-8-2,12-8-2,- металл устун,К12-7,1 дона,"1,25"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,11,norm,,12-9-1,12-9-1,Ҳарф ва рақамларни трафарет билан ёзиш,К11-3,100 ҳарф,5.2
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,12,norm,,12-10-1,12-10-1,Йўл белгиларини қайта таъмирлаш: - километр белгилари;,К12-8,1 дона,"0,29"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,13,norm,,12-10-2,12-10-2,- думалоқ ва учбурчак кўринишидаги белгилар;,,1 дона,"0,40"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,14,norm,,12-10-3,12-10-3,"- кўрсатувчи белгилар:а) 0,5 m2 гача б) 1,5 m2 гача в) 5 m2 гача",,1 дона 1 дона 1 дона,"1,45 1,25 1,05"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,15,variant_or_continuation,,,12-10-3,Йўл белгиларни эскирган нур қайтарувчи тасмаларини кўчириб янгисини ёпиштириш,,1 m2,"0,8-1,2"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,16,variant_or_continuation,,,12-10-3,Йўналишни кўрсатувчи электрон таблолар ўрнатиш,,1 дона,"2,5-3,5"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,17,variant_or_continuation,,,12-10-3,Йўналишни кўрсатувчи электрон таблолар яроқсизларини алмаштириш,,1 дона,"1,5-2,0"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,18,variant_or_continuation,,,12-10-3,Йўл жихозлари ва иншоатларига қайта тикланувчи қуёш панеллари ўрнатиш,,1 m2,"1,0-1,5"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,19,variant_or_continuation,,,12-10-3,Йўл жихозлари ва иншоатларидаги қуёш панелларини чанг ва ифлосликлардан тозалаш,,1 m2,"0,5-0,8"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,20,variant_or_continuation,,,12-10-3,Йўл жихозлари ва иншоатларига ўрнатилган қуёш панеллари яроқсизларини алмаштириш,,1 m2,"1,2-1,8"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,21,norm,,12-11-1,12-11-1,Асосга ишлов бериш: - чим билан: а) квадрат шаклида б) юмалоқ ва тўртбурчак шаклда в) учбурчак шаклда,К12-9,1 дона 1 дона 1 дона,"0,45 0,39 0,32"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,22,norm,,12-11-2,12-11-2,- тош териш билан:а) квадрат шаклда б) юмалоқ ва тўртбурчак шаклда в) учбурчак шаклда,,1 дона 1 дона 1 дона,"0,31 0,28 0,22"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,23,norm,,12-12-1,12-12-1,Белгиларни шланг ёрдамида ювиш,К12-10,100 дона,"0,59"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,24,norm,,12-13-1,12-13-1,Арка ва Г - шаклдаги белгилар- нинг метал таянчларини дала шароитида бўяш,К 12-11,1 m2,"0,39"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,25,variant_or_continuation,,,12-13-1,"Халқасимон туташмалар четига ўрнатилган темир ва тебирбетон тўсиқлар, темир ёки бошқа материаллардан ясалган огохлантирувчи устунчалар нур қайтарувчи тасмаларини алмаштириш",,1 m2,"0,7-1,0"
12,12. Бир дона йўл белгисини сақлаш учун вақт меъёрлари,13,26,variant_or_continuation,,,12-13-1,Халқасимон айланмалар четига темир ёки бошқа матераллардан ясалган огохлантирувчи устунчалар ўрнатиш,,1 дона,"2,0-2,5"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,2,norm,,13-1-1,13-1-1,Турли предмет ва чиқиндилардан тозалаш,К13-1,100 m2,1.05
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,3,norm,,13-2-1,13-2-1,Қопламанинг бузилган жойларини таъмирлаш,К13-2,1 m2,0.46
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,4,norm,,13-3-1,13-3-1,"Яхмалакка қарши ашёлар (қум, туз) сепиш",К13-3,1m3,"0,58"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,5,norm,,13-4-1,13-4-1,"Қопламани қор ва муздан тозалаш, 0,15 cm гача",К13-4,100 m2,"0,24"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,6,norm,,13-5-1,13-5-1,Йўлак бордюрларини тўғрилаш,К13-5,1 pm,0.59
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,7,norm,,13-6-1,13-6-1,"Пиёдалар ўтиш жойлари кириш-чиқиш қисмлари ички йўлакларни супуриш, ювиш, ҳар-хил чиқиндилардан тозалаш -ёзда -қишда",К13-6,,
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,8,norm,,13-6-1,13-6-1,"Пиёдалар ўтиш жойлари кириш-чиқиш қисмлари ички йўлакларни супуриш, ювиш, ҳар-хил чиқиндилардан тозалаш -ёзда -қишда",,100 m2,1.0
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,9,norm,,13-6-1,13-6-1,"Пиёдалар ўтиш жойлари кириш-чиқиш қисмлари ички йўлакларни супуриш, ювиш, ҳар-хил чиқиндилардан тозалаш -ёзда -қишда",,100 m2,1.90
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,10,norm,,13-7-1,13-7-1,Сув оқова тизимини сақлаш,К13-7,1 h,4.0
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,11,norm,,13-8-1,13-8-1,Бино электр тизимини сақлаш,К13-8,1 h,4.0
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,12,variant_or_continuation,,,13-8-1,"Пиёдалар ўтиш учун мулжалланган кўприклар том(ойна, лексан)ларини тозалаш",,100 m2,"1,0-1,5"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,13,variant_or_continuation,,,13-8-1,"Пиёдалар ўтиш учун мулжалланган кўприклар том(ойна, лексан)ларини яроқсиз қисмларини таъмирлаш ва алмаштириш",,100 m2,"2,5-3,0"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,14,variant_or_continuation,,,13-8-1,"Пиёдалар ўтиш учун мулжалланган кўприклар юриш қисмидаги плитка, мрамр, ва бошқа қисмларини кимёвий воситалар билан тозалаш",,100 m2,"1,2-1,8"
13,"13. Пиёдалар учун йўлакларни, ер ости ва ер усти пиёдалар ўтиш жойларини сақлаш учун вақт меъёрлари",14,15,variant_or_continuation,,,13-8-1,"Пиёдалар ўтиш учун мулжалланган кўприклар юриш қисмидаги плитка, мрамр, ва бошқа қисмларини яроқсиз жойларини таъмирлаш ва алмаштириш",,100 m2,"3,0-4,0"
14,14. Асфальтбетон билан мустаҳкамланган йўл четини сақлаш учун вақт меъёрлари,15,2,norm,,14-1-1,14-1-1,Бузилган жойларни 2 жадвал буйича таъмирлаш,К2-1,1 m2,0.77
14,14. Асфальтбетон билан мустаҳкамланган йўл четини сақлаш учун вақт меъёрлари,15,3,norm,,14-2,14-2,Турли предмет ва чиқиндилардан тозалаш,К14-2,100 m2,1.05
15,15. Қаттиқ қопламали туташувчи йўлларни сақлаш учун вақт меъёрлари,16,2,norm,,15-1-1,15-1-1,Турли предмет ва чиқиндилардан тозалаш,К14-2,100 m2,1.05
15,15. Қаттиқ қопламали туташувчи йўлларни сақлаш учун вақт меъёрлари,16,3,norm,,15-2-1,15-2-1,Қопламанинг бузилган жойларини 2 жадвал буйича таъмирлаш,К2-1,1 m2,0.77
15,15. Қаттиқ қопламали туташувчи йўлларни сақлаш учун вақт меъёрлари,16,4,norm,,15-3-1,15-3-1,"Яхмалакка қарши ашёлар (қум, туз) сепиш",К13-3,1 m3,"0,58"
15,15. Қаттиқ қопламали туташувчи йўлларни сақлаш учун вақт меъёрлари,16,5,norm,,15-4-1,15-4-1,"Қопламани қор ва муздан тозалаш, 0,15 cm гача",К20-4,100 m2,"9,8"
15,15. Қаттиқ қопламали туташувчи йўлларни сақлаш учун вақт меъёрлари,16,6,norm,,15-5-1,15-5-1,Чекка бордюрларини тўғрилаш,К15-2,1 pm,0.59
16,16. Қордан ҳимояловчи тўсиқларни сақлаш учун вақт меъёрлари,17,2,norm,,16-1-1,16-1-1,Асосини тузатиш,К16-1,1 асос,0.14
16,16. Қордан ҳимояловчи тўсиқларни сақлаш учун вақт меъёрлари,17,3,norm,,16-2-1,16-2-1,Тўсиқларни бўяш,К16-2,1 m2,0.52
16,16. Қордан ҳимояловчи тўсиқларни сақлаш учун вақт меъёрлари,17,4,norm,,16-3-1,16-3-1,Тўсиқни чанг ва ифлосликлардан тозалаш,К16-3,100 pm,0.66
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,2,norm,,17-1-1,17-1-1,Темирбетон устунларни бўяш,К17-1,1 дона,0.56
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,3,norm,,17-2-1,17-2-1,Ёритгичнинг метал қисмини бўяш,К17-2,1 дона,0.14
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,4,norm,,17-3-1,17-3-1,Устунларни чанг ва ифлосликлардан тозалаш,17-3,1 дона,0.31
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,5,norm,,17-4-1,17-4-1,Электор қутиларини сақлаш (бир мартаба қаров ишлари),,1 дона,4
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,6,norm,,17-5-1,17-5-1,Трансфарматорларни сақлаш (бир мартаба каров ишлари),,1 дона,4
17,17. Ёритиш тармоғини сақлаш учун вақт меъёрлари,18,7,norm,,17-6-1,17-6-1,Кўча чироқларини алмаштириш,,1 дона,0.6
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,2,norm,,18-1-1,18-1-1,"Бино ҳудудини озода сақлаш, чанг ва ифлосликлардан тозалаш",К18-1,100 m2,1.05
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,3,norm,,18-2-1,18-2-1,"Бино ички хоналарини саранжом саришта сақлаш, полларни ювиш, чангларни артиш",К18-2,100 m2,1.18
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,4,norm,,18-3-1,18-3-1,Бинони ва бино ҳудудини қўриқлаш (ой буйича тўрт смена),К18-3,1 h,8.0
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,5,norm,,18-4-1,18-4-1,Бино жойлашган ҳудудни ободонлаштириш (ойига бир марта),К18-4,1 h,8.0
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,6,norm,,18-5-1,18-5-1,Сув оқова тизимини сақлаш (ойига бир марта),К18-5,1 иш куни,8.0
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,7,norm,,18-6-1,18-6-1,Бино электр тизимини сақлаш (ойига бир марта),К18-6,1 h,8.0
18,18. Маъмурий бинолар ва ишлаб чиқариш иншоотларини сақлаш учун вақт меъёрлари,19,8,norm,,18-7-1,18-7-1,Газ таъминотини сақлаш (ойига бир марта),К18-7,1 h,8.0
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,3,norm,,19-1,19-1,Эгатларни юмшатиш ва ўтдан тозалаш,К19-1,100 m2,1.75
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,4,norm,,19-2,19-2,Тупроқни қўл кучи билан ағдариш,К19-2,,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,5,norm,,19-2-1,19-2-1,1 гуруҳ тупроқда 15 cm чуқурликда,А,100 m2,5.2
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,6,norm,,19-2-2,19-2-2,25 cm чуқурликда,,100 m2,9.5
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,7,norm,,19-2-3,19-2-3,2 гуруҳ тупроқда 15 cm чуқурликда,Б,100 m2,6.9
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,8,norm,,19-2-4,19-2-4,25 cm чуқурликда,,100 m2,14
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,9,norm,,19-2-5,19-2-5,3 гуруҳ тупроқда 15 cm чуқурликда,В,100 m2,10
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,10,norm,,19-2-6,19-2-6,25 cm чуқурликда,,100 m2,21
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,11,norm,,19-3,19-3,"Тупроқни текислаш, тош ва дарахт илдизларини териш билан",К19-3,,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,12,norm,,19-3-1,19-3-1,1 гуруҳ тупроқда,,100 m2,2.6
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,13,norm,,19-3-2,19-3-2,2 гуруҳ тупроқда,,100 m2,4.4
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,14,norm,,19-3-3,19-3-3,3 гуруҳ тупроқда,,100 m2,6.5
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,15,norm,,19-4,19-4,Чопиб текисланган жойга жўяк очиш,К19-4,,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,16,norm,,19-4-1,19-4-1,1 гуруҳ тупроқда,,100 m2,3.8
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,17,norm,,19-4-2,19-4-2,2 гуруҳ тупроқда,,100 m2,6.3
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,18,norm,,19-4-3,19-4-3,3 гуруҳ тупроқда,,100 m2,8.6
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,19,norm,,19-5-1,19-5-1,Уруғ сепиш,К19-5,100 m2,0.36
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,20,norm,,19-6-1,19-6-1,Мавсумий гул кўчат экиш,К19-6,100 m2,0.39
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,21,norm,,19-7-1,19-7-1,Дарахт ниҳолларини экиш,К19-7,100 дона,"72,2"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,22,norm,,19-8-1,19-8-1,Кўчатларни 100 m гача олиб бориб тарқатиш,К19-8,100 дона,"1,45"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,23,norm,,19-9-1,19-9-1,Газонларни (майсазорларни) ўриш,К19-9,1000 m2,"0,49"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,24,norm,,19-10-1,19-10-1,Бошқа жойга экиш учун кўчатларни кавлаб олиш,К19-10,1 дона,0.40
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,25,norm,,19-11-1,19-11-1,Кўп йиллик гул кучатларни экиш,К19-11,100 дона,"1,7"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,26,norm,,19-12-1,19-12-1,Ерга гўнг ва ўғит сепиш,К19-12,1 t,"0,52"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,27,norm,,19-13-1,19-13-1,Гулзорни суғориш,К19-13,1000 m2,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,28,variant_or_continuation,,,19-13-1,Шланг ёрдамида суғориш,,1000 m2,"0,7-1,0"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,29,variant_or_continuation,,,19-13-1,Моторли сув насоси ёрдамида суғориш,,1000 m2,"0,4-,0,6"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,30,norm,,19-14-1,19-14-1,Майдонни кўкаламзорлаштириш учун тайёрлаш– Майдон режасини тузиш Каноптола,Е4701-001,100 м2,"0,0002"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,31,variant_or_continuation,,,19-14-1,"Нинабаргли ўсимликлардан арраланган материаллар. 4-6,5 м узунликдаги кесилмаган дарахтлар, барча кенгликларда, қалинлиги 16 мм, IV навли",,,"0,001"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,32,norm,,19-14-2,19-14-2,1-2 ёшли дарахтларни қўлда оқартириш,Е4701-097-01,1000 дарахт,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,33,variant_or_continuation,,,19-14-2,"Сўндирилмаган донадор қурилиш оҳаки, 1-нав",,т,"0,038"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,34,variant_or_continuation,,,19-14-2,Сув,,м3,"0,114"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,35,norm,,19-14-3,19-14-3,3-5 ёшли дарахтларни қўлда оқартириш,Е4701-097-02,1000 дарахт,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,36,variant_or_continuation,,,19-14-3,"Сўндирилмаган донадор қурилиш оҳаки, 1-нав",,т,"0,088"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,37,variant_or_continuation,,,19-14-3,Сув,,м3,"0,264"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,38,norm,,19-14-4,19-14-4,6-8 ёшли дарахтларни қўлда оқартириш,Е4701-097-03,1000 дарахт,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,39,variant_or_continuation,,,19-14-4,"Сўндирилмаган донадор қурилиш оҳаки, 1-нав",,т,"0,125"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,40,variant_or_continuation,,,19-14-4,Сув,,м3,"0,375"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,41,norm,,19-14-5,19-14-5,"0,2х0,15 ва 0,25х0,2 м ўлчамдаги бўлакли ер майдонлардаги дарахт ёки буталарни парваришлаш",Е4701-067-01,10 дарахт ёки буталар,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,42,variant_or_continuation,,,19-14-5,Қоп матоси,,10m2,"0,15"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,43,variant_or_continuation,,,19-14-5,Қаноптола,,t,"0,00003"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,44,variant_or_continuation,,,19-14-5,2200х60 мм Ўрнатиладиган ёғоч тахталар,,q,2
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,45,variant_or_continuation,,,19-14-5,Сув,,m3,"0,42"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,46,norm,,19-14-6,19-14-6,"0,3х0,3 м ўлчамдаги бўлакли ер майдонлардаги дарахт ёки буталарни парваришлаш",Е4701-067-02,10 дарахт ёки буталар,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,47,variant_or_continuation,,,19-14-6,Қоп матоси,,10m2,"0,15"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,48,variant_or_continuation,,,19-14-6,Қаноптола,,t,"0,00003"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,49,variant_or_continuation,,,19-14-6,2200х60 мм Ўрнатиладиган ёғоч тахталар,,q,2
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,50,variant_or_continuation,,,19-14-6,Сув,,m3,"1,2"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,51,norm,,19-14-7,19-14-7,"0,5х0,4 м ўлчамдаги бўлакли ер майдонлардаги дарахт ёки буталарни парваришлаш",Е4701-067-03,10 дарахт ёки буталар.,
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,52,variant_or_continuation,,,19-14-7,Қоп матоси,,10m2,"0,15"
19,"19. Кўкаламзорлаштириш, манзарали дарахтлар ва гулхоналарни сақлаш учун вақт меъёрлари",20,53,variant_or_continuation,,,19-14-7,Қаноптола,,t,"0,00007"
